"country","countryCode","date","filterByRating","isVerified","position","product/listPrice","product/listPrice/currency","product/listPrice/value","product/price","product/price/currency","product/price/value","productAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","variant"
"Italy",,"2023-06-20","fiveStar","true","9",,,,,,,"B08VKBWXH8","5","https://www.amazon.com/product-reviews/B08VKBWXH8?reviewerType=all_reviews&pageNumber=1&asin=B08VKBWXH8&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Prodotto ottimo a prezzo eccellente",,,,,,,,,"One person found this helpful","Ottimo","https://www.amazon.it/gp/customer-reviews/R1P371M9E999H9?ASIN=B08VKBWXH8","Reviewed in Italy on 20 June 2023","249","55","Size Name: 12 x 650 mlStyle Name: Universal"
"Italy",,"2023-06-17","fiveStar","true","10",,,,,,,"B08VKBWXH8","5","https://www.amazon.com/product-reviews/B08VKBWXH8?reviewerType=all_reviews&pageNumber=1&asin=B08VKBWXH8&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Ottimo prodotto.",,,,,,,,,"","Ottimo prodotto.","https://www.amazon.it/gp/customer-reviews/R11ESNLD5YDPHZ?ASIN=B08VKBWXH8","Reviewed in Italy on 17 June 2023","249","55","Size Name: 3 x 650 mlStyle Name: Universal"
"Italy",,"2023-10-14","oneStar","true","1",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","Arrivato in condizioni pessime, mal imballato fuoriusciva prodotto, carissimo, e nemmeno si apre, on e off non funzionano, provato ad aprire e’sigillato, praticamente da buttare e buttati più di 8 eur, il reso è ulteriore perdita di tempo e soldi, non è possibile acquistare in questo mal modo","https://m.media-amazon.com/images/I/71HzXj2QM5L._SY88.jpg","https://m.media-amazon.com/images/I/71d7T-uHMmL._SY88.jpg",,,,,,,"","Non si apre nemmeno a piangere","https://www.amazon.it/gp/customer-reviews/RBDG33A8PS7B9?ASIN=B06X9YBY7N","Reviewed in Italy on 14 October 2023","42","15",""
"Italy",,"2023-09-07","oneStar","true","2",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","Il corriere, senza che abbia preventivamente ""provato"" a suonare il campanello, ha lanciato la scatola del Cif Ultra Muffa Spray Detergente Multisuperfici Antimuffa nel giardino. Conseguenza ?  I nebulizzatori del prodotto si sono frantumati. Quindi, mi è stato impossibile testare il prodotto (per una valutazione).","https://m.media-amazon.com/images/I/113Rb1Eb3JL._SY88.jpg",,,,,,,,"","I nebulizzatori del prodotto erano frantumati","https://www.amazon.it/gp/customer-reviews/R3MUBH8E1VIE0V?ASIN=B06X9YBY7N","Reviewed in Italy on 7 September 2023","42","15",""
"Italy",,"2023-01-20","oneStar","true","3",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","Già lo sapevo che non funziona niente altro che candeggina, ma con tutte quelle recensioni di spray miracoloso.. ho voluto provare pagando il triplo un prodotto che costa poco più di €2. Con la muffa non funziona niente altro che candeggina e acqua ossigenata a 12 volumi. Certamente prima devi grattare bene la muffa e poi spruzzare. Tutti questi spray professionali non servono a niente. Certamente non li comprerò più. Già ho pagato abbastanza per tre che non mi serviranno a niente. Già lo vendono 3 volte suo prezzo poi ti costringono a comprare il minimo tre della trovata... complimenti.","https://m.media-amazon.com/images/I/51fPdo-en0L._SY88.jpg","https://m.media-amazon.com/images/I/61sSF5erj4L._SY88.jpg",,,,,,,"One person found this helpful","Lo sapevo.. ma ho voluto provare","https://www.amazon.it/gp/customer-reviews/R1SR429SUUEGXM?ASIN=B06X9YBY7N","Reviewed in Italy on 20 January 2023","42","15",""
"Italy",,"2021-11-17","oneStar","true","4",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","Dopo aver ordinato una volta il prodotto, é arrivato con 5 giorni di ritardo. Il prodotto é arrivato aperto, senza sigillo plastico che confermasse che il prodotto fosse nuovo. Appena spruzzato si sente un forte odore di AMMONIACA, e qua la dice tutta sul fatto che il contenuto è stato sostituito con una soluzione a base di ammoniaca, invece che a base di cloro come attesta la ditta. Dato che sono un chimico, farò presto delle analisi. Davvero deluso",,,,,,,,,"3 people found this helpful","⚠️ NON CREDETE ALLE RECENSIONI POSITIVE ⚠️","https://www.amazon.it/gp/customer-reviews/R3T5JLCIO1HWVL?ASIN=B06X9YBY7N","Reviewed in Italy on 17 November 2021","42","15",""
"Italy",,"2022-01-07","oneStar","true","5",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","Peccato che devi comprarne tre poi volevo prenderlo ad un amico ma ne devo comprare per forza 3.....pazienza lo compro al supermercato.",,,,,,,,,"","Funziona bene","https://www.amazon.it/gp/customer-reviews/RB7UOAMWZBHNR?ASIN=B06X9YBY7N","Reviewed in Italy on 7 January 2022","42","15",""
"Italy",,"2022-01-18","oneStar","true","6",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","Sul mio muro non ha funzionato 🙍",,,,,,,,,"","Non toglie la muffa","https://www.amazon.it/gp/customer-reviews/R3U7UYZCHSQS8O?ASIN=B06X9YBY7N","Reviewed in Italy on 18 January 2022","42","15",""
"Italy",,"2022-02-21","oneStar","true","7",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","Non ha sbiancato nulla",,,,,,,,,"","Non funziona","https://www.amazon.it/gp/customer-reviews/RHOTGQSVJ5GB0?ASIN=B06X9YBY7N","Reviewed in Italy on 21 February 2022","42","15",""
"Italy",,"2021-01-07","oneStar","true","8",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","È arrivato con il beccuccio semi rotto non mi sono accorta l'ho spruzzato e mi è ritornato tutto indietro rovinando gli abiti e il copripiumone, sinceramente uno spray alla varechina fa la stessa funzione",,,,,,,,,"","Inconveniente","https://www.amazon.it/gp/customer-reviews/RXKM5O7GNV3Y6?ASIN=B06X9YBY7N","Reviewed in Italy on 7 January 2021","42","15",""
"Italy",,"2021-04-08","oneStar","true","9",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","Ho pagato € 8,37 un articolo che credevo introvabile, invece l'ho visto sullo scaffale di un supermercato a €2,50...sono molto delusa e anche un pò seccata.",,,,,,,,,"","prezzo giusto","https://www.amazon.it/gp/customer-reviews/RN20BAP6IU8GM?ASIN=B06X9YBY7N","Reviewed in Italy on 8 April 2021","42","15",""
"Italy",,"2021-01-26","oneStar","true","10",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","Il prodotto che mi è stato consegnato non sembra conforme a quello pubblicizzato. Non vi è sull' etichetta la dicitura ""NUOVO""!","https://images-na.ssl-images-amazon.com/images/I/91WbH5UJ16L._SY88.jpg",,,,,,,,"","Non conforme","https://www.amazon.it/gp/customer-reviews/R25D7RM4T9NK0D?ASIN=B06X9YBY7N","Reviewed in Italy on 26 January 2021","42","15",""
"Italy",,"2023-11-22","fiveStar","true","1",,,,,,,"B06X9YBY7N","5","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Toglie la muffa nei minimi particolari. Io ho una parte della casa a nord e ho sempre avuto problemi di umidità e muffa ma ora che ho scoperto questo prodotto, quando inizia a formarsi la muffa lo utilizzo e per qualche mese sono a posto. Non è una cosa definitiva ma ora che so come comportarmi non ho più muffa nera sugli angoli della casa e nei bagni!!!",,,,,,,,,"","Fa il suo dovere molto bene","https://www.amazon.it/gp/customer-reviews/R3CXJXDY2USK1W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 22 November 2023","929","290",""
"Italy",,"2023-11-04","fiveStar","true","2",,,,,,,"B06X9YBY7N","5","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","prodotto molto efficace",,,,,,,,,"","molto soddisfatta","https://www.amazon.it/gp/customer-reviews/R1QXEIK681WHQO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 4 November 2023","929","290",""
"Italy",,"2023-10-11","fiveStar","true","3",,,,,,,"B06X9YBY7N","5","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Ottimo prodotto antimuffa, molto potente, ovviamente attenzione all'odore forte nei luoghi chiusi",,,,,,,,,"One person found this helpful","Ottimo prodotto","https://www.amazon.it/gp/customer-reviews/R2GZH6YOGUIMG3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 11 October 2023","929","290",""
"Italy",,"2023-09-17","fiveStar","true","4",,,,,,,"B06X9YBY7N","5","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Per il momento l'ho usato sulle piastrelle della doccia, dove alcune fughe erano nere. Ho spruzzato e l'ho lasciato agire per circa 15 minuti, come da istruzioni, ho passato una spazzola di media durezza e le fughe sono tornate bianche. Consigliato",,,,,,,,,"4 people found this helpful","Efficace","https://www.amazon.it/gp/customer-reviews/R16DP878SI1RGJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 17 September 2023","929","290",""
"Italy",,"2023-09-17","fiveStar","true","5",,,,,,,"B06X9YBY7N","5","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Efficace nello sciogliere la muffa, nel video si vede perfettamente come cola tutto il nero. Va lasciato agire qualche minuto e asciugare senza strofinare. Consiglio l'utilizzo di occhiali protettivi e mascherina.  il risultato per la mia esperienza è ottimo. Lo consiglio, peccato che è difficile da trovare nei supermercati.",,,,,,,,,"One person found this helpful","Funziona 🥳🥳","https://www.amazon.it/gp/customer-reviews/R3BDA6U8W9Y2OQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 17 September 2023","929","290",""
"Italy",,"2023-09-12","fiveStar","true","6",,,,,,,"B06X9YBY7N","5","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Prodotto eccellente per docce, fughe mattonelle e addirittura muretti esterni o soglie . Lo consiglio vivamente",,,,,,,,,"One person found this helpful","Pienamente soddisfatta","https://www.amazon.it/gp/customer-reviews/R3O191FFIR5QO9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 12 September 2023","929","290",""
"Italy",,"2023-09-18","fiveStar","true","7",,,,,,,"B06X9YBY7N","5","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Prodotto antimuffa direi eccezionale ma direi molto caro",,,,,,,,,"One person found this helpful","Prodotto antimuffa","https://www.amazon.it/gp/customer-reviews/R1G7JVWSBRKFPJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 18 September 2023","929","290",""
"Italy",,"2023-09-22","fiveStar","true","8",,,,,,,"B06X9YBY7N","5","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","eccellente prodotto facile da utilizzare",,,,,,,,,"One person found this helpful","muffa","https://www.amazon.it/gp/customer-reviews/R22SMDZ3L8AJHX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 22 September 2023","929","290",""
"Italy",,"2023-08-29","fiveStar","true","9",,,,,,,"B06X9YBY7N","5","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Ho visto che è cambiata la confezione ma non il prodotto io lo uso come antimuffa in particolari angoli della casa, e come detergente per la pulizia della piastra in cucina",,,,,,,,,"One person found this helpful","È un prodotto perfetto per la pulizia sia della muffa che come detergente","https://www.amazon.it/gp/customer-reviews/R3K41R7UD2O1U3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 29 August 2023","929","290",""
"Italy",,"2023-08-29","fiveStar","true","10",,,,,,,"B06X9YBY7N","5","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=1&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Veramente ottimo... non ci credevo ma ha tolto in un attimo il nero da muri e fughe delle piastrelle nella doccia... ricompro sicuramente",,,,,,,,,"One person found this helpful","Miglior antimuffa","https://www.amazon.it/gp/customer-reviews/R1ZYQMZCZBCSLX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 29 August 2023","929","290",""
"Italy",,"2021-01-11","oneStar","true","11",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=2&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","Il contenuto del prodotto è fuori uscito dal contenitore e l'imballo Era bagnato.",,,,,,,,,"One person found this helpful","Prodotto fuori uscito","https://www.amazon.it/gp/customer-reviews/R1D3CKCK4KI418/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 11 January 2021","42","15",""
"Italy",,"2021-06-16","oneStar","true","12",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=2&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","Non funziona, non sbianca.",,,,,,,,,"One person found this helpful","Non mantiene le promesse","https://www.amazon.it/gp/customer-reviews/R2KX9YYVV3SG8L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 16 June 2021","42","15",""
"Italy",,"2022-07-11","oneStar","false","13",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=2&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","Il prodotto è valido peccato che ancora non l’abbia ricevuto da 2 mesi sono in attesa",,,,,,,,,"","Lunghe attese","https://www.amazon.it/gp/customer-reviews/R1FUJT28ZZJXBG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 11 July 2022","42","15",""
"Italy",,"2021-03-08","oneStar","true","14",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=2&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","Non serve a nulla",,,,,,,,,"","Pessimo","https://www.amazon.it/gp/customer-reviews/R2A5ISXCTMNXW1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 8 March 2021","42","15",""
"Italy",,"2021-07-23","oneStar","true","15",,,,,,,"B06X9YBY7N","1","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=2&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=one_star&sortBy=helpful","Vi consiglio con tutto il cuore di non provare questa esperienza!!! Non ho voluto ascoltare una persona che mi aveva sconsigliato L’uso di prodotti del genere! Oltre all’efficacia alquanto relativa, lascia una puzza di candeggina tremendo!! L’ho applicato alle otto di mattina E alle sei di sera L’odore è rimasto fortissimo come appena applicata, Nonostante io abbia spalancato porte e finestre tutto il giorno per far arieggiare. Sono disperato perché ho paura che dovrò andare a dormire da un’altra parte, di certo non in camera da letto dove l’odore è talmente forte Che mi è venuto il mal di testa!!! Evitatelo come la peste! Proprio non concepisco tutti i commenti positivi!!! 🤮",,,,,,,,,"One person found this helpful","Terribile, Da evitare come la peste","https://www.amazon.it/gp/customer-reviews/R1YNOTPCQ0M3J3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 23 July 2021","42","15",""
"Italy",,"2021-09-09","fiveStar","true","61",,,,,,,"B06X9YBY7N","5","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=7&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Ho provato questo prodotto fidandomi delle recensioni positive e ho fatto bene. Avevo il soffitto del bagno che in alcuni punti era stato attaccato dalla muffa e erano ormai più anni che mi davo da fare con la candeggina, ottenendo però scarsi risultati. Con questo prodotto invece il soffitto è tornato assolutamente bianco, e anche a distanza di mesi i risultati persistono. Magari dovrete strofinare un po' e in alcuni punti spruzzare il prodotto due volte, ma alla fine vedrete i risultati.",,,,,,,,,"","La muffa se ne va per davvero!!","https://www.amazon.it/gp/customer-reviews/R3LHH9V1O78EIW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 9 September 2021","929","290",""
"Italy",,"2023-01-16","fiveStar","true","62",,,,,,,"B06X9YBY7N","5","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=7&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Prodotto veramente ottimo è migliore di altri a prezzi molto più alti",,,,,,,,,"","Ottimo prodotto","https://www.amazon.it/gp/customer-reviews/RJP2FQ90LVP6Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 16 January 2023","929","290",""
"Italy",,"2023-01-07","fiveStar","true","63",,,,,,,"B06X9YBY7N","5","https://www.amazon.com/product-reviews/B06X9YBY7N?reviewerType=all_reviews&pageNumber=7&asin=B06X9YBY7N&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","L’ho usato per togliere piccole macchie sulla doccia ed il risultato è stato eccellente",,,,,,,,,"3 people found this helpful","Elimina muffa","https://www.amazon.it/gp/customer-reviews/REKNAKY1CSKKK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B06X9YBY7N","Reviewed in Italy on 7 January 2023","929","290",""
